C,Si,Mn,P,S,Cr,Ni,Mo,N,Nb,Al,Ti,Th,I,U,Ve,Strain,TCL
0.07,0.7,1.07,0.023,0.012,24.65,20.1,0,0.11,0,0.02,0,12,250,17,1.67,2.4,16.66
0.05,0.66,0.89,0.021,0.005,17,12.3,2.26,0.094,0,0.02,0,12,250,17,1.67,2.4,8.33
0.06,0.64,0.96,0.02,0.003,18.6,9.65,0,0.148,0,0.02,0,12,250,17,1.67,4,15.53
0.017,0.56,1.09,0.025,0.01,18.48,10.4,0,0.157,0,0.02,0,12,250,17,1.67,4,8.95
0.07,0.7,1.07,0.023,0.012,24.65,20.1,0,0.165,0,0.02,0,12,250,17,1.67,2.4,17.13
0.05,0.66,0.89,0.021,0.005,17,12.3,2.26,0.127,0,0.02,0,12,250,17,1.67,2.4,6.48
0.02,0.7,0.93,0.018,0.007,17.1,15.11,2.62,0.151,0,0.02,0,12,250,17,1.67,2.4,10.08
0.059,1.79,1.25,0.027,0.005,18.86,11.29,0.01,0.049,0,0.004,0,3.18,100,12,4.2,0.5,1.12
0.062,1.92,1.29,0.005,0.005,18.08,11.65,0.01,0.055,0,0.005,0,3.18,100,12,4.2,0.5,2.55
0.061,1.92,1.31,0.016,0.016,18.1,11.63,0.01,0.054,0,0.002,0,3.18,100,12,4.2,0.5,4.98
0.059,1.79,1.25,0.027,0.005,18.86,11.29,0.01,0.049,0,0.004,0,3.18,100,12,4.2,1.75,4.16
0.06,1.8,1.26,0.016,0.019,18.98,11.4,0.01,0.048,0,0.004,0,3.18,100,12,4.2,1.75,3.25
0.062,1.92,1.29,0.005,0.005,18.08,11.65,0.01,0.055,0,0.005,0,3.18,100,12,4.2,1.75,6.86
0.059,1.79,1.25,0.027,0.005,18.86,11.29,0.01,0.049,0,0.004,0,3.18,100,12,4.2,2.5,4.25
0.06,1.8,1.26,0.016,0.019,18.98,11.4,0.01,0.048,0,0.004,0,3.18,100,12,4.2,2.5,3.58
0.06,1.8,1.26,0.004,0.032,19.1,11.42,0.01,0.048,0,0.004,0,3.18,100,12,4.2,2.5,2.96
